code,alt,name,short,line,borough,complex,x,y
101,,242 St-Van Cortlandt Park,242,Broadway,Bronx,,620098,324240
103,,238 St,238,Broadway,Bronx,,619474,322638
104,,231 St,231,Broadway,Bronx,,618322,320370
106,,225 St-Marble Hill,225,Broadway,Bronx,,616906,318792
107,,215 St,215,Broadway,Manhattan,,615532,317082
108,,207 St,207,Broadway,Manhattan,,614494,315204
109,,Dyckman St,Dyckman,Broadway,Manhattan,,613006,314160
110,,191 St,191,Broadway,Manhattan,,611794,311982
111,,181 St,181,Broadway,Manhattan,,610480,309708
112,,168 St-Washington Hts,168,Broadway,Manhattan,168 Street,608820,306694
113,,157 St,157,Broadway,Manhattan,,607384,304050
114,,145 St,145,Broadway,Manhattan,,605848,301272
115,,137 St-City College,137,Broadway,Manhattan,,604834,299424
116,,125 St,125,Broadway,Manhattan,,603700,297354
117,,116 St-Columbia Univ.,116,Broadway,Manhattan,,602140,294528
118,,Cathedral Parkway ,110,Broadway,Manhattan,,601372,293154
119,,103 St,103,Broadway,Manhattan,,600868,291276
120,,96 St,96,7 Av,Manhattan,,599898,289500
121,,86 St,86,7 Av,Manhattan,,598666,287328
122,,79 St,79,7 Av,Manhattan,,597688,285732
123,,72 St,72,7 Av,Manhattan,,597160,283848
124,,66 St-Lincoln Center,66,7 Av,Manhattan,,597134,282038
125,,59 St-Columbus Circle,59,7 Av,Manhattan,Columbus Circle,597010,279879
126,,50 St,50,7 Av,Manhattan,,596620,277554
127,,42 St-Times Square,42,7 Av,Manhattan,Times Square,595813,275523
128,,34 St-Penn Station,34,7 Av,Manhattan,,594673,273567
129,,28 St,28,7 Av,Manhattan,,594052,272460
130,,23 St,23,7 Av,Manhattan,,593404,271278
131,,18 St,18,7 Av,Manhattan,,592792,270180
132,,14 St,14,7 Av,Manhattan,14 St/6-7 Avs,592219,269145
133,,Christopher St-Sheridan Sq,Christopher,7 Av,Manhattan,,591526,267582
134,,Houston St,Houston,7 Av,Manhattan,,590836,265740
